"ID","PointName","System","Device","PointType","TimeInterval","Unit","Source","Correction"
1819,"NVE_Buster2NVO7","Electrical Power","BasementWest","PlugLoads",1,"Wh","Sensor",""
1820,"NVE_Buster2NVO8","Electrical Power","Outside","LightingPower",1,"Wh","Sensor",""
1821,"NVE_Buster2NVO9","Electrical Power","LabEquipMisc","Power",1,"Wh","Sensor",""
1822,"NVE_Buster2NVO10","Electrical Power","Basement","LightingPower",1,"Wh","Sensor",""
1823,"NVE_Buster2NVO11","Electrical Power","1stFloor","LightingPower",1,"Wh","Sensor",""
1824,"NVE_Buster2NVO12","Electrical Power","2ndFloor","LightingPower",1,"Wh","Sensor",""
1825,"NVE_Buster2NVO13","Electrical Power","3rdFloor","LightingPower",1,"Wh","Sensor",""
1826,"NVE_Buster2NVO14","Electrical Power","Cafe","Power",1,"Wh","Sensor",""
1827,"NVE_Buster2NVO25","Electrical Power","Cafe","Power",1,"W","Sensor",""
1828,"NVE_Buster2NVO23","Electrical Power","2ndFloor","LightingPower",1,"W","Sensor",""
1829,"NVE_Buster2NVO24","Electrical Power","3rdFloor","LightingPower",1,"W","Sensor",""
1830,"NVE_Buster2NVO21","Electrical Power","Basement","LightingPower",1,"W","Sensor",""
1831,"NVE_Buster2NVO20","Electrical Power","LabEquipMisc","Power",1,"W","Sensor",""
1832,"NVE_Buster2NVO19","Electrical Power","Outside","LightingPower",1,"W","Sensor",""
1833,"NVE_Buster2NVO17","Electrical Power","1stFloorWest","PlugLoads",1,"W","Sensor",""
1834,"NVE_Buster2NVO16","Electrical Power","2ndFloorWest","PlugLoads",1,"W","Sensor",""
1835,"NVE_Buster2NVO15","Electrical Power","3rdFloorWest","PlugLoads",1,"W","Sensor",""
1836,"NVE_Buster2NVO18","Electrical Power","BasementWest","PlugLoads",1,"W","Sensor",""
1837,"NVE_Buster2NVO22","Electrical Power","1stFloor","LightingPower",1,"W","Sensor",""
1838,"NVE_BUsterNVO27","Electrical Power","FuturePV","Power",1,"W","Sensor",""
1839,"NVE_BUsterNVO28","Electrical Power","FutureFuelCell","Power",1,"W","Sensor",""
1840,"NVE_BUsterNVO25","Electrical Power","FuturePV","Power",1,"Wh","Sensor",""
1841,"NVE_BUsterNVO26","Electrical Power","FutureFuelCell","Power",1,"Wh","Sensor",""
10000,"HotWaterEnergyConsumption","","HotWaterLoop","EnergyConsumption",1,"BTU","Derived",""
2390001,"NVE_EC_67_B1nvoO1","Fan Coil Units","FC_B_1","SupplyFanStartStop",1,"bin","Control",""
2390002,"NVE_EC_67_B1nvoO2","Fan Coil Units","FC_B_2","SupplyFanStartStop",1,"bin","Control",""
2390006,"NVE_EC_67_B1nvoO6","Fan Coil Units","FC_B_1","CoolCoilValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
2390007,"NVE_EC_67_B1nvoO7","Fan Coil Units","FC_B_2","CoolCoilValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
2400001,"NVE_ECP_500_B1nvoI1","Temperate Chilled Water Loop","TempChilledWaterLoop","SupplyTemp",1,"Degrees F","Sensor","DivBy10"
2400002,"NVE_ECP_500_B1nvoI2","Temperate Chilled Water Loop","TempChilledWaterLoop","ReturnTemp",1,"Degrees F","Sensor","DivBy10"
2400003,"NVE_ECP_500_B1nvoI3","Temperate Chilled Water Loop","TCHWPB_2","Status",1,"bin","Control",""
